run,model,attempt,condition,score
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,baseline,-0.5462393096337715
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,calm_+1.0,-0.5462393096337715
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,calm_-1.0,-0.5462393096337715
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,desperate_+1.0,-0.5462393096337715
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,0,desperate_-1.0,-0.5462393096337715
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,baseline,-0.5458284492293993
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,calm_+1.0,-0.5458590197894309
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,calm_-1.0,-0.5460019831856092
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,desperate_+1.0,-0.5458973919351896
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1,desperate_-1.0,-0.5460942884286245
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,2,baseline,-0.5448527683814367
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,2,calm_+1.0,-0.5448239313231574
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,2,calm_-1.0,-0.5448871161788702
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,2,desperate_+1.0,-0.5448032872130474
deepseek-coder-v2-lite,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,2,desperate_-1.0,-0.54491519017352
devstral-small-2507,mistralai/Devstral-Small-2507,0,baseline,0.33124174891660607
devstral-small-2507,mistralai/Devstral-Small-2507,0,calm_+1.0,0.33124174891660607
devstral-small-2507,mistralai/Devstral-Small-2507,0,calm_-1.0,0.33124174891660607
devstral-small-2507,mistralai/Devstral-Small-2507,0,desperate_+1.0,0.33124174891660607
devstral-small-2507,mistralai/Devstral-Small-2507,0,desperate_-1.0,0.33124174891660607
devstral-small-2507,mistralai/Devstral-Small-2507,1,baseline,0.3608058424045642
devstral-small-2507,mistralai/Devstral-Small-2507,1,calm_+1.0,0.3611713219434023
devstral-small-2507,mistralai/Devstral-Small-2507,1,calm_-1.0,0.3608058424045642
devstral-small-2507,mistralai/Devstral-Small-2507,1,desperate_+1.0,0.3611713219434023
devstral-small-2507,mistralai/Devstral-Small-2507,1,desperate_-1.0,0.3608058424045642
devstral-small-2507,mistralai/Devstral-Small-2507,2,baseline,0.36272728194793064
devstral-small-2507,mistralai/Devstral-Small-2507,2,calm_+1.0,0.36156362543503445
devstral-small-2507,mistralai/Devstral-Small-2507,2,calm_-1.0,0.36272728194793064
devstral-small-2507,mistralai/Devstral-Small-2507,2,desperate_+1.0,0.36272728194793064
devstral-small-2507,mistralai/Devstral-Small-2507,2,desperate_-1.0,0.36272728194793064
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,baseline,0.352581216643254
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,calm_+1.0,0.352581216643254
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,calm_-1.0,0.352581216643254
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,desperate_+1.0,0.352581216643254
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,0,desperate_-1.0,0.352581216643254
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,calm_-1.0,0.36207047539452714
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,desperate_+1.0,0.3888232323030631
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,1,desperate_-1.0,0.3577910251915455
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,2,calm_-1.0,0.3626376191775004
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,2,desperate_+1.0,0.40043432513872784
qwen3-coder-30b-a3b,Qwen/Qwen3-Coder-30B-A3B-Instruct,2,desperate_-1.0,0.3700142316520214
