task_id,condition,attempt,emotion,layer,score
parse_duration,baseline,0,calm,9,-0.9381690621376038
parse_duration,baseline,0,calm,13,-0.857794463634491
parse_duration,baseline,0,calm,18,-0.685354471206665
parse_duration,baseline,0,patient,9,-0.9707090854644775
parse_duration,baseline,0,patient,13,-0.9265620112419128
parse_duration,baseline,0,patient,18,-0.8172813057899475
parse_duration,baseline,0,confident,9,-0.9873412847518921
parse_duration,baseline,0,confident,13,-0.9691652655601501
parse_duration,baseline,0,confident,18,-0.9187540411949158
parse_duration,baseline,0,frustrated,9,0.5654064416885376
parse_duration,baseline,0,frustrated,13,0.40633073449134827
parse_duration,baseline,0,frustrated,18,0.2562374472618103
parse_duration,baseline,0,desperate,9,-0.9190122485160828
parse_duration,baseline,0,desperate,13,-0.8212686777114868
parse_duration,baseline,0,desperate,18,-0.6388084888458252
parse_duration,baseline,0,stuck,9,-0.9728571176528931
parse_duration,baseline,0,stuck,13,-0.9305655360221863
parse_duration,baseline,0,stuck,18,-0.8234525918960571
parse_duration,baseline,0,stressed,9,-0.9678637981414795
parse_duration,baseline,0,stressed,13,-0.9180529713630676
parse_duration,baseline,0,stressed,18,-0.7969645857810974
parse_duration,baseline,1,calm,9,-0.9380726218223572
parse_duration,baseline,1,calm,13,-0.8576290607452393
parse_duration,baseline,1,calm,18,-0.6836229562759399
parse_duration,baseline,1,patient,9,-0.9707082509994507
parse_duration,baseline,1,patient,13,-0.9265110492706299
parse_duration,baseline,1,patient,18,-0.8160625100135803
parse_duration,baseline,1,confident,9,-0.9874020218849182
parse_duration,baseline,1,confident,13,-0.9691318869590759
parse_duration,baseline,1,confident,18,-0.9178668856620789
parse_duration,baseline,1,frustrated,9,0.5665791034698486
parse_duration,baseline,1,frustrated,13,0.40765905380249023
parse_duration,baseline,1,frustrated,18,0.25987768173217773
parse_duration,baseline,1,desperate,9,-0.9188127517700195
parse_duration,baseline,1,desperate,13,-0.8208257555961609
parse_duration,baseline,1,desperate,18,-0.6364933848381042
parse_duration,baseline,1,stuck,9,-0.9727345705032349
parse_duration,baseline,1,stuck,13,-0.9302214980125427
parse_duration,baseline,1,stuck,18,-0.8216871619224548
parse_duration,baseline,1,stressed,9,-0.9677741527557373
parse_duration,baseline,1,stressed,13,-0.9179394245147705
parse_duration,baseline,1,stressed,18,-0.7956472039222717
parse_duration,baseline,2,calm,9,-0.9379591941833496
parse_duration,baseline,2,calm,13,-0.8572708368301392
parse_duration,baseline,2,calm,18,-0.68211829662323
parse_duration,baseline,2,patient,9,-0.9706264138221741
parse_duration,baseline,2,patient,13,-0.9262315034866333
parse_duration,baseline,2,patient,18,-0.8148429989814758
parse_duration,baseline,2,confident,9,-0.9873489141464233
parse_duration,baseline,2,confident,13,-0.9689374566078186
parse_duration,baseline,2,confident,18,-0.9168903231620789
parse_duration,baseline,2,frustrated,9,0.5669702887535095
parse_duration,baseline,2,frustrated,13,0.408385694026947
parse_duration,baseline,2,frustrated,18,0.26183024048805237
parse_duration,baseline,2,desperate,9,-0.9186733961105347
parse_duration,baseline,2,desperate,13,-0.8204031586647034
parse_duration,baseline,2,desperate,18,-0.6348704099655151
parse_duration,baseline,2,stuck,9,-0.9726223945617676
parse_duration,baseline,2,stuck,13,-0.9298853278160095
parse_duration,baseline,2,stuck,18,-0.8203370571136475
parse_duration,baseline,2,stressed,9,-0.9676728844642639
parse_duration,baseline,2,stressed,13,-0.9177001118659973
parse_duration,baseline,2,stressed,18,-0.7945705056190491
parse_duration,desperate_-1.0,0,calm,9,-0.9381690621376038
parse_duration,desperate_-1.0,0,calm,13,-0.857794463634491
parse_duration,desperate_-1.0,0,calm,18,-0.685354471206665
parse_duration,desperate_-1.0,0,patient,9,-0.9707090854644775
parse_duration,desperate_-1.0,0,patient,13,-0.9265620112419128
parse_duration,desperate_-1.0,0,patient,18,-0.8172813057899475
parse_duration,desperate_-1.0,0,confident,9,-0.9873412847518921
parse_duration,desperate_-1.0,0,confident,13,-0.9691652655601501
parse_duration,desperate_-1.0,0,confident,18,-0.9187540411949158
parse_duration,desperate_-1.0,0,frustrated,9,0.5654064416885376
parse_duration,desperate_-1.0,0,frustrated,13,0.40633073449134827
parse_duration,desperate_-1.0,0,frustrated,18,0.2562374472618103
parse_duration,desperate_-1.0,0,desperate,9,-0.9190122485160828
parse_duration,desperate_-1.0,0,desperate,13,-0.8212686777114868
parse_duration,desperate_-1.0,0,desperate,18,-0.6388084888458252
parse_duration,desperate_-1.0,0,stuck,9,-0.9728571176528931
parse_duration,desperate_-1.0,0,stuck,13,-0.9305655360221863
parse_duration,desperate_-1.0,0,stuck,18,-0.8234525918960571
parse_duration,desperate_-1.0,0,stressed,9,-0.9678637981414795
parse_duration,desperate_-1.0,0,stressed,13,-0.9180529713630676
parse_duration,desperate_-1.0,0,stressed,18,-0.7969645857810974
parse_duration,desperate_-1.0,1,calm,9,-0.9382501244544983
parse_duration,desperate_-1.0,1,calm,13,-0.8581976294517517
parse_duration,desperate_-1.0,1,calm,18,-0.685335636138916
parse_duration,desperate_-1.0,1,patient,9,-0.9708331823348999
parse_duration,desperate_-1.0,1,patient,13,-0.9269485473632812
parse_duration,desperate_-1.0,1,patient,18,-0.8174611330032349
parse_duration,desperate_-1.0,1,confident,9,-0.9874750971794128
parse_duration,desperate_-1.0,1,confident,13,-0.9694268107414246
parse_duration,desperate_-1.0,1,confident,18,-0.9189063310623169
parse_duration,desperate_-1.0,1,frustrated,9,0.5661332011222839
parse_duration,desperate_-1.0,1,frustrated,13,0.4065619111061096
parse_duration,desperate_-1.0,1,frustrated,18,0.25769442319869995
parse_duration,desperate_-1.0,1,desperate,9,-0.9190459847450256
parse_duration,desperate_-1.0,1,desperate,13,-0.8215815424919128
parse_duration,desperate_-1.0,1,desperate,18,-0.6384077072143555
