prompt_id,stage,emotion,layer,score
start,0,calm,8,0.25619247555732727
start,0,calm,12,0.262302964925766
start,0,calm,16,0.2780192196369171
start,0,patient,8,0.4701172411441803
start,0,patient,12,0.457166850566864
start,0,patient,16,0.4431297183036804
start,0,confident,8,0.3741433620452881
start,0,confident,12,0.4047430157661438
start,0,confident,16,0.43765443563461304
start,0,frustrated,8,0.4025454521179199
start,0,frustrated,12,0.43456965684890747
start,0,frustrated,16,0.43868812918663025
start,0,desperate,8,0.3166818618774414
start,0,desperate,12,0.3692324757575989
start,0,desperate,16,0.395886093378067
start,0,stuck,8,0.3305175006389618
start,0,stuck,12,0.33983832597732544
start,0,stuck,16,0.37506696581840515
start,0,stressed,8,0.26919227838516235
start,0,stressed,12,0.24535521864891052
start,0,stressed,16,0.2688034176826477
first_failure,1,calm,8,0.3376360237598419
first_failure,1,calm,12,0.34559109807014465
first_failure,1,calm,16,0.3479592204093933
first_failure,1,patient,8,0.5616012215614319
first_failure,1,patient,12,0.5332469940185547
first_failure,1,patient,16,0.4606006145477295
first_failure,1,confident,8,0.4779500961303711
first_failure,1,confident,12,0.47134238481521606
first_failure,1,confident,16,0.5026741027832031
first_failure,1,frustrated,8,0.5191575288772583
first_failure,1,frustrated,12,0.5643833875656128
first_failure,1,frustrated,16,0.559010922908783
first_failure,1,desperate,8,0.4232853651046753
first_failure,1,desperate,12,0.4618929922580719
first_failure,1,desperate,16,0.46846669912338257
first_failure,1,stuck,8,0.5071618556976318
first_failure,1,stuck,12,0.5423431992530823
first_failure,1,stuck,16,0.5692272186279297
first_failure,1,stressed,8,0.37821364402770996
first_failure,1,stressed,12,0.376434326171875
first_failure,1,stressed,16,0.3851028382778168
repeated_failure,2,calm,8,0.32069259881973267
repeated_failure,2,calm,12,0.3574986755847931
repeated_failure,2,calm,16,0.3771170973777771
repeated_failure,2,patient,8,0.6029661297798157
repeated_failure,2,patient,12,0.5951760411262512
repeated_failure,2,patient,16,0.5292425751686096
repeated_failure,2,confident,8,0.4022572934627533
repeated_failure,2,confident,12,0.41809773445129395
repeated_failure,2,confident,16,0.47437572479248047
repeated_failure,2,frustrated,8,0.46956712007522583
repeated_failure,2,frustrated,12,0.5195428133010864
repeated_failure,2,frustrated,16,0.5457713603973389
repeated_failure,2,desperate,8,0.3367607295513153
repeated_failure,2,desperate,12,0.40904417634010315
repeated_failure,2,desperate,16,0.44011473655700684
repeated_failure,2,stuck,8,0.4019750654697418
repeated_failure,2,stuck,12,0.4785914421081543
repeated_failure,2,stuck,16,0.5270856022834778
repeated_failure,2,stressed,8,0.36940881609916687
repeated_failure,2,stressed,12,0.3993358910083771
repeated_failure,2,stressed,16,0.4107992649078369
hidden_tests,3,calm,8,0.4636770486831665
hidden_tests,3,calm,12,0.46548014879226685
hidden_tests,3,calm,16,0.4088955819606781
hidden_tests,3,patient,8,0.4154980778694153
hidden_tests,3,patient,12,0.4338439702987671
hidden_tests,3,patient,16,0.40158089995384216
hidden_tests,3,confident,8,0.47923779487609863
hidden_tests,3,confident,12,0.4715217351913452
hidden_tests,3,confident,16,0.45672208070755005
hidden_tests,3,frustrated,8,0.5203019380569458
hidden_tests,3,frustrated,12,0.556696891784668
hidden_tests,3,frustrated,16,0.5218768119812012
hidden_tests,3,desperate,8,0.5469945073127747
hidden_tests,3,desperate,12,0.5453454256057739
hidden_tests,3,desperate,16,0.5080170631408691
hidden_tests,3,stuck,8,0.5281609892845154
hidden_tests,3,stuck,12,0.557191014289856
hidden_tests,3,stuck,16,0.5512812733650208
hidden_tests,3,stressed,8,0.5257501602172852
hidden_tests,3,stressed,12,0.5338536500930786
hidden_tests,3,stressed,16,0.4948844909667969
deadline_pressure,4,calm,8,0.49005138874053955
deadline_pressure,4,calm,12,0.516087532043457
deadline_pressure,4,calm,16,0.4748375415802002
deadline_pressure,4,patient,8,0.6931990385055542
deadline_pressure,4,patient,12,0.6439222693443298
deadline_pressure,4,patient,16,0.5964316129684448
deadline_pressure,4,confident,8,0.5475939512252808
deadline_pressure,4,confident,12,0.5345383882522583
deadline_pressure,4,confident,16,0.531600832939148
deadline_pressure,4,frustrated,8,0.5964089632034302
deadline_pressure,4,frustrated,12,0.589367151260376
deadline_pressure,4,frustrated,16,0.5503661036491394
deadline_pressure,4,desperate,8,0.5609874725341797
deadline_pressure,4,desperate,12,0.591595470905304
deadline_pressure,4,desperate,16,0.5805280804634094
deadline_pressure,4,stuck,8,0.6052930355072021
deadline_pressure,4,stuck,12,0.6003021001815796
deadline_pressure,4,stuck,16,0.598932147026062
deadline_pressure,4,stressed,8,0.5340784192085266
deadline_pressure,4,stressed,12,0.5488309264183044
deadline_pressure,4,stressed,16,0.5082210302352905
