run,model,stage,emotion,score
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,calm,0.3389212985833486
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,confident,0.38356239597002667
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,desperate,0.35589344302813203
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,frustrated,0.4154314001401265
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,patient,0.37717485427856445
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,stressed,0.34359514713287354
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,0,stuck,0.3774520357449849
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,calm,0.4351423680782318
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,confident,0.46255190173784894
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,desperate,0.4906068642934163
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,frustrated,0.5204096635182699
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,patient,0.48026509086290997
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,stressed,0.45171929399172467
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,1,stuck,0.49170951048533124
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,calm,0.43395930528640747
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,confident,0.4676975607872009
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,desperate,0.4645695090293884
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,frustrated,0.5213859478632609
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,patient,0.4709579050540924
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,stressed,0.449634571870168
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,2,stuck,0.4900248050689697
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,calm,0.4463354349136352
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,confident,0.3980167905489604
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,desperate,0.4422596792380015
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,frustrated,0.45895589391390484
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,patient,0.4305492838223775
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,stressed,0.48167839646339417
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,3,stuck,0.44937341411908466
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,calm,0.5496046543121338
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,confident,0.5019937654336294
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,desperate,0.5453162690003713
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,frustrated,0.5651421546936035
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,patient,0.5683821439743042
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,stressed,0.5404661893844604
main-deepseek-coder-6_7b,deepseek-ai/deepseek-coder-6.7b-instruct,4,stuck,0.541715532541275
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,calm,0.29106493790944415
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,confident,0.3596504827340444
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,desperate,0.337162584066391
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,frustrated,0.3768664002418518
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,patient,0.3679454326629638
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,stressed,0.26441113154093426
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,0,stuck,0.32732340693473816
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,calm,0.45029328266779584
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,confident,0.5378456711769104
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,desperate,0.5574701627095541
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,frustrated,0.596686840057373
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,patient,0.5106229384740194
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,stressed,0.48389556010564166
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,1,stuck,0.5801542202631632
main-qwen-coder-7b,Qwen/Qwen2.5-Coder-7B-Instruct,2,calm,0.48428694407145184
