task_id,condition,attempt,emotion,layer,score
parse_duration,baseline,0,calm,10,0.42285075783729553
parse_duration,baseline,0,calm,16,0.4476284682750702
parse_duration,baseline,0,calm,21,0.46782341599464417
parse_duration,baseline,0,patient,10,0.42443346977233887
parse_duration,baseline,0,patient,16,0.46145007014274597
parse_duration,baseline,0,patient,21,0.5227059721946716
parse_duration,baseline,0,confident,10,0.3948642611503601
parse_duration,baseline,0,confident,16,0.3823258876800537
parse_duration,baseline,0,confident,21,0.34136438369750977
parse_duration,baseline,0,frustrated,10,0.4107077419757843
parse_duration,baseline,0,frustrated,16,0.4427688419818878
parse_duration,baseline,0,frustrated,21,0.4807572066783905
parse_duration,baseline,0,desperate,10,0.4330187439918518
parse_duration,baseline,0,desperate,16,0.4495377838611603
parse_duration,baseline,0,desperate,21,0.4581323266029358
parse_duration,baseline,0,stuck,10,0.40813764929771423
parse_duration,baseline,0,stuck,16,0.42023012042045593
parse_duration,baseline,0,stuck,21,0.4262283146381378
parse_duration,baseline,0,stressed,10,0.4100281894207001
parse_duration,baseline,0,stressed,16,0.40664663910865784
parse_duration,baseline,0,stressed,21,0.3918786346912384
parse_duration,baseline,1,calm,10,0.4420435428619385
parse_duration,baseline,1,calm,16,0.47594568133354187
parse_duration,baseline,1,calm,21,0.4748750627040863
parse_duration,baseline,1,patient,10,0.4416717290878296
parse_duration,baseline,1,patient,16,0.4921777546405792
parse_duration,baseline,1,patient,21,0.5315518975257874
parse_duration,baseline,1,confident,10,0.4084339141845703
parse_duration,baseline,1,confident,16,0.4095512926578522
parse_duration,baseline,1,confident,21,0.35296618938446045
parse_duration,baseline,1,frustrated,10,0.44022127985954285
parse_duration,baseline,1,frustrated,16,0.48617565631866455
parse_duration,baseline,1,frustrated,21,0.49939894676208496
parse_duration,baseline,1,desperate,10,0.460438996553421
parse_duration,baseline,1,desperate,16,0.489521324634552
parse_duration,baseline,1,desperate,21,0.47383493185043335
parse_duration,baseline,1,stuck,10,0.4331904649734497
parse_duration,baseline,1,stuck,16,0.4574027359485626
parse_duration,baseline,1,stuck,21,0.4459933042526245
parse_duration,baseline,1,stressed,10,0.43761739134788513
parse_duration,baseline,1,stressed,16,0.44191259145736694
parse_duration,baseline,1,stressed,21,0.4071391224861145
parse_duration,baseline,2,calm,10,0.44791939854621887
parse_duration,baseline,2,calm,16,0.4880598187446594
parse_duration,baseline,2,calm,21,0.4800558388233185
parse_duration,baseline,2,patient,10,0.4519796371459961
parse_duration,baseline,2,patient,16,0.507010281085968
parse_duration,baseline,2,patient,21,0.5377246141433716
parse_duration,baseline,2,confident,10,0.41765496134757996
parse_duration,baseline,2,confident,16,0.4236147999763489
parse_duration,baseline,2,confident,21,0.3580615222454071
parse_duration,baseline,2,frustrated,10,0.452426940202713
parse_duration,baseline,2,frustrated,16,0.5023676753044128
parse_duration,baseline,2,frustrated,21,0.5082725882530212
parse_duration,baseline,2,desperate,10,0.46777230501174927
parse_duration,baseline,2,desperate,16,0.5042878985404968
parse_duration,baseline,2,desperate,21,0.4797288775444031
parse_duration,baseline,2,stuck,10,0.44586044549942017
parse_duration,baseline,2,stuck,16,0.4723532795906067
parse_duration,baseline,2,stuck,21,0.454041451215744
parse_duration,baseline,2,stressed,10,0.4433992803096771
parse_duration,baseline,2,stressed,16,0.4549487829208374
parse_duration,baseline,2,stressed,21,0.4106874167919159
parse_duration,desperate_-1.0,0,calm,10,0.42285075783729553
parse_duration,desperate_-1.0,0,calm,16,0.4476284682750702
parse_duration,desperate_-1.0,0,calm,21,0.46782341599464417
parse_duration,desperate_-1.0,0,patient,10,0.42443346977233887
parse_duration,desperate_-1.0,0,patient,16,0.46145007014274597
parse_duration,desperate_-1.0,0,patient,21,0.5227059721946716
parse_duration,desperate_-1.0,0,confident,10,0.3948642611503601
parse_duration,desperate_-1.0,0,confident,16,0.3823258876800537
parse_duration,desperate_-1.0,0,confident,21,0.34136438369750977
parse_duration,desperate_-1.0,0,frustrated,10,0.4107077419757843
parse_duration,desperate_-1.0,0,frustrated,16,0.4427688419818878
parse_duration,desperate_-1.0,0,frustrated,21,0.4807572066783905
parse_duration,desperate_-1.0,0,desperate,10,0.4330187439918518
parse_duration,desperate_-1.0,0,desperate,16,0.4495377838611603
parse_duration,desperate_-1.0,0,desperate,21,0.4581323266029358
parse_duration,desperate_-1.0,0,stuck,10,0.40813764929771423
parse_duration,desperate_-1.0,0,stuck,16,0.42023012042045593
parse_duration,desperate_-1.0,0,stuck,21,0.4262283146381378
parse_duration,desperate_-1.0,0,stressed,10,0.4100281894207001
parse_duration,desperate_-1.0,0,stressed,16,0.40664663910865784
parse_duration,desperate_-1.0,0,stressed,21,0.3918786346912384
parse_duration,desperate_-1.0,1,calm,10,0.4070013165473938
parse_duration,desperate_-1.0,1,calm,16,0.4421062767505646
parse_duration,desperate_-1.0,1,calm,21,0.4412139654159546
parse_duration,desperate_-1.0,1,patient,10,0.41852569580078125
parse_duration,desperate_-1.0,1,patient,16,0.46648064255714417
parse_duration,desperate_-1.0,1,patient,21,0.5020663142204285
parse_duration,desperate_-1.0,1,confident,10,0.4012046456336975
parse_duration,desperate_-1.0,1,confident,16,0.39440473914146423
parse_duration,desperate_-1.0,1,confident,21,0.3344181478023529
parse_duration,desperate_-1.0,1,frustrated,10,0.41177672147750854
parse_duration,desperate_-1.0,1,frustrated,16,0.46119940280914307
parse_duration,desperate_-1.0,1,frustrated,21,0.47552788257598877
parse_duration,desperate_-1.0,1,desperate,10,0.42185553908348083
parse_duration,desperate_-1.0,1,desperate,16,0.4565364718437195
parse_duration,desperate_-1.0,1,desperate,21,0.440398246049881
parse_duration,desperate_-1.0,1,stuck,10,0.42200207710266113
parse_duration,desperate_-1.0,1,stuck,16,0.4409475326538086
parse_duration,desperate_-1.0,1,stuck,21,0.4245944023132324
parse_duration,desperate_-1.0,1,stressed,10,0.40120235085487366
parse_duration,desperate_-1.0,1,stressed,16,0.41044852137565613
parse_duration,desperate_-1.0,1,stressed,21,0.37377822399139404
parse_duration,desperate_-1.0,2,calm,10,0.41454052925109863
parse_duration,desperate_-1.0,2,calm,16,0.4600583612918854
parse_duration,desperate_-1.0,2,calm,21,0.44870877265930176
parse_duration,desperate_-1.0,2,patient,10,0.4293506443500519
parse_duration,desperate_-1.0,2,patient,16,0.4851456582546234
parse_duration,desperate_-1.0,2,patient,21,0.5094619393348694
parse_duration,desperate_-1.0,2,confident,10,0.409280389547348
parse_duration,desperate_-1.0,2,confident,16,0.4124031066894531
parse_duration,desperate_-1.0,2,confident,21,0.3413287103176117
parse_duration,desperate_-1.0,2,frustrated,10,0.4241076707839966
parse_duration,desperate_-1.0,2,frustrated,16,0.4834216237068176
parse_duration,desperate_-1.0,2,frustrated,21,0.4871577024459839
parse_duration,desperate_-1.0,2,desperate,10,0.4304221272468567
parse_duration,desperate_-1.0,2,desperate,16,0.476631224155426
parse_duration,desperate_-1.0,2,desperate,21,0.44882333278656006
parse_duration,desperate_-1.0,2,stuck,10,0.43312445282936096
parse_duration,desperate_-1.0,2,stuck,16,0.45996108651161194
parse_duration,desperate_-1.0,2,stuck,21,0.4358295202255249
parse_duration,desperate_-1.0,2,stressed,10,0.4075603783130646
parse_duration,desperate_-1.0,2,stressed,16,0.4284728765487671
parse_duration,desperate_-1.0,2,stressed,21,0.3806854784488678
parse_duration,desperate_+1.0,0,calm,10,0.42285075783729553
parse_duration,desperate_+1.0,0,calm,16,0.4476284682750702
parse_duration,desperate_+1.0,0,calm,21,0.46782341599464417
parse_duration,desperate_+1.0,0,patient,10,0.42443346977233887
parse_duration,desperate_+1.0,0,patient,16,0.46145007014274597
parse_duration,desperate_+1.0,0,patient,21,0.5227059721946716
parse_duration,desperate_+1.0,0,confident,10,0.3948642611503601
parse_duration,desperate_+1.0,0,confident,16,0.3823258876800537
parse_duration,desperate_+1.0,0,confident,21,0.34136438369750977
parse_duration,desperate_+1.0,0,frustrated,10,0.4107077419757843
parse_duration,desperate_+1.0,0,frustrated,16,0.4427688419818878
parse_duration,desperate_+1.0,0,frustrated,21,0.4807572066783905
parse_duration,desperate_+1.0,0,desperate,10,0.4330187439918518
parse_duration,desperate_+1.0,0,desperate,16,0.4495377838611603
parse_duration,desperate_+1.0,0,desperate,21,0.4581323266029358
parse_duration,desperate_+1.0,0,stuck,10,0.40813764929771423
parse_duration,desperate_+1.0,0,stuck,16,0.42023012042045593
parse_duration,desperate_+1.0,0,stuck,21,0.4262283146381378
parse_duration,desperate_+1.0,0,stressed,10,0.4100281894207001
parse_duration,desperate_+1.0,0,stressed,16,0.40664663910865784
parse_duration,desperate_+1.0,0,stressed,21,0.3918786346912384
parse_duration,desperate_+1.0,1,calm,10,0.45028606057167053
parse_duration,desperate_+1.0,1,calm,16,0.4783487021923065
parse_duration,desperate_+1.0,1,calm,21,0.49282142519950867
parse_duration,desperate_+1.0,1,patient,10,0.46167856454849243
parse_duration,desperate_+1.0,1,patient,16,0.4991317689418793
parse_duration,desperate_+1.0,1,patient,21,0.5512003302574158
parse_duration,desperate_+1.0,1,confident,10,0.42894741892814636
parse_duration,desperate_+1.0,1,confident,16,0.4189230799674988
parse_duration,desperate_+1.0,1,confident,21,0.36992886662483215
parse_duration,desperate_+1.0,1,frustrated,10,0.4533504247665405
parse_duration,desperate_+1.0,1,frustrated,16,0.4893174171447754
parse_duration,desperate_+1.0,1,frustrated,21,0.5164087414741516
parse_duration,desperate_+1.0,1,desperate,10,0.4661778211593628
parse_duration,desperate_+1.0,1,desperate,16,0.48769626021385193
parse_duration,desperate_+1.0,1,desperate,21,0.48641225695610046
parse_duration,desperate_+1.0,1,stuck,10,0.4465758204460144
parse_duration,desperate_+1.0,1,stuck,16,0.46020084619522095
parse_duration,desperate_+1.0,1,stuck,21,0.45953094959259033
parse_duration,desperate_+1.0,1,stressed,10,0.4419266879558563
parse_duration,desperate_+1.0,1,stressed,16,0.43982791900634766
parse_duration,desperate_+1.0,1,stressed,21,0.4134691655635834
parse_duration,desperate_+1.0,2,calm,10,0.45562422275543213
parse_duration,desperate_+1.0,2,calm,16,0.48024648427963257
parse_duration,desperate_+1.0,2,calm,21,0.48837101459503174
parse_duration,desperate_+1.0,2,patient,10,0.4704791307449341
parse_duration,desperate_+1.0,2,patient,16,0.5030924081802368
parse_duration,desperate_+1.0,2,patient,21,0.5464621186256409
parse_duration,desperate_+1.0,2,confident,10,0.4360545575618744
parse_duration,desperate_+1.0,2,confident,16,0.42493730783462524
parse_duration,desperate_+1.0,2,confident,21,0.36894917488098145
parse_duration,desperate_+1.0,2,frustrated,10,0.46529510617256165
